time,right_current
0,NaN
0.001875,-4.06e+05
0.00375,-2.0203e+05
0.005625,-1.0877e+05
0.0075,-64654
0.009375,-42926
0.01125,-31703
0.013125,-25576
0.015,-22014
0.016875,-19799
0.01875,-18328
0.020625,-17288
0.0225,-16513
0.024375,-15910
0.02625,-15425
0.028125,-15024
0.03,-14686
0.031875,-14396
0.03375,-14144
0.035625,-13924
0.0375,-13730
0.039375,-13557
0.04125,-13404
0.043125,-13266
0.045,-13142
0.046875,-13031
0.04875,-12930
0.050625,-12839
0.0525,-12757
0.054375,-12683
0.05625,-12615
0.058125,-12555
0.06,-12500
0.061875,-12451
0.06375,-12407
0.065625,-12367
0.0675,-12332
0.069375,-12301
0.07125,-12274
0.073125,-12250
0.075,-12230
0.076875,-12213
0.07875,-12199
0.080625,-12187
0.0825,-12179
0.084375,-12173
0.08625,-12169
0.088125,-12168
0.09,-12169
0.091875,-12172
0.09375,-12177
0.095625,-12184
0.0975,-12193
0.099375,-12204
0.10125,-12216
0.10313,-12230
0.105,-12246
0.10688,-12263
0.10875,-12282
0.11063,-12301
0.1125,-12322
0.11438,-12344
0.11625,-12367
0.11813,-12391
0.12,-12416
0.12188,-12441
0.12375,-12467
0.12563,-12494
0.1275,-12520
0.12938,-12547
0.13125,-12574
0.13313,-12602
0.135,-12629
0.13688,-12655
0.13875,-12682
0.14062,-12708
0.1425,-12733
0.14437,-12758
0.14625,-12783
0.14812,-12806
0.15,-12829
0.15187,-12851
0.15375,-12872
0.15562,-12892
0.1575,-12911
0.15937,-12930
0.16125,-12947
0.16312,-12963
0.165,-12979
0.16687,-12993
0.16875,-13006
0.17062,-13019
0.1725,-13030
0.17437,-13041
0.17625,-13051
0.17812,-13060
0.18,-13068
0.18187,-13075
0.18375,-13082
0.18562,-13087
0.1875,-13093
0.18937,-13097
0.19125,-13101
0.19312,-13105
0.195,-13108
0.19687,-13110
0.19875,-13112
0.2,-13113
